lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_desc,weather_icon
3.033,101.45,Asia/Kuala_Lumpur,28800,1737388800,1737415568,1737458664,26.8,29.55,1010,83,23.67,NA,20,10000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736956800,1736983486,1737026555,25.56,26.63,1012,94,24.52,NA,40,5000,1.03,0,501,Rain,moderate rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736690400,1736637807,1736680858,26.23,26.23,1012,83,23.11,NA,20,10000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1735855200,1735859996,1735903015,26.12,26.12,1009,83,23.0,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736946000,1736897067,1736940131,26.73,28.55,1011,72,21.26,NA,20,9000,1.54,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737709200,1737674808,1737717922,27.94,31.8,1007,79,23.96,NA,20,10000,3.6,290,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737921600,1737934040,1737977174,25.34,26.38,1008,94,24.3,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736560800,1736551386,1736594432,25.14,26.01,1014,88,23.01,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737068400,1737069904,1737112978,24.45,25.25,1010,88,22.33,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1735948800,1735946421,1735989443,25.63,26.7,1010,94,24.59,NA,20,9000,0.0,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737943200,1737934040,1737977174,27.62,30.42,1010,74,22.57,NA,20,10000,1.54,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737349200,1737329153,1737372243,29.49,31.54,1010,58,20.36,NA,20,10000,1.54,320,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736269200,1736292119,1736335153,26.33,26.33,1012,94,25.29,NA,20,10000,0.51,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738620000,1738625290,1738668481,24.96,25.68,1010,83,21.87,NA,20,9000,1.54,0,801,Clouds,few clouds,02n
